symbol,instrument_key,open,high,low,close,volume,timestamp
HDFCBANK,NSE_EQ|INE040A01034,806.0,811.0,800.1,801.3,7245562,2021-10-08
HDFCBANK,NSE_EQ|INE040A01034,800.0,822.5,799.5,816.9,13080848,2021-10-11
HDFCBANK,NSE_EQ|INE040A01034,812.5,820.8,812.5,814.8,8176946,2021-10-12
HDFCBANK,NSE_EQ|INE040A01034,818.5,824.0,815.0,819.7,6225644,2021-10-13
HDFCBANK,NSE_EQ|INE040A01034,819.0,845.0,819.0,843.7,14757288,2021-10-14
HDFCBANK,NSE_EQ|INE040A01034,852.5,862.5,833.5,835.2,28856456,2021-10-18
HDFCBANK,NSE_EQ|INE040A01034,837.7,846.2,835.5,844.4,8987540,2021-10-19
HDFCBANK,NSE_EQ|INE040A01034,844.6,849.4,832.2,836.9,10908568,2021-10-20
HDFCBANK,NSE_EQ|INE040A01034,835.9,841.0,830.4,838.2,9738190,2021-10-21
HDFCBANK,NSE_EQ|INE040A01034,840.0,854.0,835.4,840.4,12175554,2021-10-22
HDFCBANK,NSE_EQ|INE040A01034,845.0,845.0,806.9,828.5,16426766,2021-10-25
HDFCBANK,NSE_EQ|INE040A01034,825.0,836.9,823.2,826.4,12090656,2021-10-26
HDFCBANK,NSE_EQ|INE040A01034,826.4,832.5,818.6,821.4,13249642,2021-10-27
HDFCBANK,NSE_EQ|INE040A01034,825.0,825.0,793.6,796.8,17797750,2021-10-28
HDFCBANK,NSE_EQ|INE040A01034,795.0,801.0,780.0,791.4,12406874,2021-10-29
HDFCBANK,NSE_EQ|INE040A01034,792.5,805.5,791.8,802.6,8122320,2021-11-01
HDFCBANK,NSE_EQ|INE040A01034,803.0,811.0,800.0,803.4,13237722,2021-11-02
HDFCBANK,NSE_EQ|INE040A01034,802.6,805.0,787.8,790.7,10207338,2021-11-03
HDFCBANK,NSE_EQ|INE040A01034,797.5,798.9,795.0,797.0,1096808,2021-11-04
HDFCBANK,NSE_EQ|INE040A01034,796.0,802.4,785.2,800.1,18943580,2021-11-08
HDFCBANK,NSE_EQ|INE040A01034,797.3,797.3,784.5,786.1,12695476,2021-11-09
HDFCBANK,NSE_EQ|INE040A01034,784.0,784.5,775.0,777.6,13714126,2021-11-10
HDFCBANK,NSE_EQ|INE040A01034,775.0,777.4,767.8,774.2,7999404,2021-11-11
HDFCBANK,NSE_EQ|INE040A01034,775.0,779.5,772.5,776.5,14914092,2021-11-12
HDFCBANK,NSE_EQ|INE040A01034,781.0,785.9,777.2,778.6,9533594,2021-11-15
HDFCBANK,NSE_EQ|INE040A01034,777.5,778.6,770.8,774.0,8245406,2021-11-16
HDFCBANK,NSE_EQ|INE040A01034,768.4,772.0,764.2,765.4,7598878,2021-11-17
HDFCBANK,NSE_EQ|INE040A01034,763.0,771.8,762.6,769.7,9152874,2021-11-18
HDFCBANK,NSE_EQ|INE040A01034,773.0,776.4,749.5,757.7,15261272,2021-11-22
HDFCBANK,NSE_EQ|INE040A01034,751.0,763.9,748.2,757.8,11235214,2021-11-23
HDFCBANK,NSE_EQ|INE040A01034,762.0,768.2,757.0,759.0,30802286,2021-11-24
HDFCBANK,NSE_EQ|INE040A01034,757.4,766.6,753.5,763.0,10251652,2021-11-25
HDFCBANK,NSE_EQ|INE040A01034,750.0,753.4,742.5,745.0,18624936,2021-11-26
HDFCBANK,NSE_EQ|INE040A01034,747.4,753.8,731.0,750.6,12990996,2021-11-29
HDFCBANK,NSE_EQ|INE040A01034,747.5,764.5,743.3,746.8,25221542,2021-11-30
